name,normalized_name,corporate_number,cn_count,name_in_db,cn_in_db,name_cn_match,pref_municipality,pref_abbr,db_name_by_cn,valid
(株)マックスサポート,株式会社マックスサポート,9011101025819,1,True,True,True,False,False,株式会社マックスサポート,True
(株)ムトウ苫小牧支店,株式会社ムトウ苫小牧支店,2430001016743,1,False,True,False,False,False,株式会社ムトウ,False
(株)ムトーセーフ,株式会社ムトーセーフ,3030001085266,1,True,True,True,False,False,株式会社ムトーセーフ,True
(株)メディアアトリエ,株式会社メディアアトリエ,1011001037079,1,True,True,True,False,False,株式会社メディアアトリエ,True
(株)ヤマウラ,株式会社ヤマウラ,6100001021418,1,True,True,True,False,False,株式会社ヤマウラ,True
(株)ユーエスケー,株式会社ユーエスケー,9490001002120,1,True,True,True,False,False,株式会社ユーエスケー,True
(株)ライダース・パブリシティ,株式会社ライダース・パブリシティ,4010001031808,1,True,True,True,False,False,株式会社ライダース・パブリシティ,True
(株)リケン環境システム,株式会社リケン環境システム,1010001032222,1,True,True,True,False,False,株式会社リケン環境システム,True
(株)三菱UFJ銀行,株式会社三菱UFJ銀行,5010001008846,1,True,True,True,False,False,株式会社三菱ＵＦＪ銀行,True
(株)三菱ケミカルリサーチ,株式会社三菱ケミカルリサーチ,5010001022137,1,True,True,True,False,False,株式会社三菱ケミカルリサーチ,True
(株)中央,株式会社中央,6011301004402,1,True,True,True,False,False,株式会社中央,True
(株)傳刀組,株式会社傳刀組,3100001017328,1,True,True,True,False,False,株式会社傳刀組,True
(株)共和電業,株式会社共和電業,6012401007567,1,True,True,True,False,False,株式会社共和電業,True
(株)加藤組,株式会社加藤組,7200001010863,1,True,True,True,False,False,株式会社加藤組,True
(株)吉川組,株式会社吉川組,1310001009727,1,True,True,True,False,False,株式会社吉川組,True
(株)図書館流通センター,株式会社図書館流通センター,3010001005556,1,True,True,True,False,False,株式会社図書館流通センター,True
(株)国際開発ジャーナル社,株式会社国際開発ジャーナル社,6010401010632,1,False,True,False,False,False,株式会社国際開発ジヤーナル社,False
(株)地域環境計画,株式会社地域環境計画,6010901007401,1,True,True,True,False,False,株式会社地域環境計画,True
(株)堀場製作所,株式会社堀場製作所,1130001011676,1,True,True,True,False,False,株式会社堀場製作所,True
(株)守谷商会,株式会社守谷商会,2010001059025,1,True,True,True,False,False,株式会社守谷商会,True
(株)小山ガレージ,株式会社小山ガレージ,7020001017308,1,True,True,True,False,False,株式会社小山ガレージ,True
(株)小頓別木材,株式会社小頓別木材,,0,False,False,False,False,False,,False
(株)山屋,株式会社山屋,1100001033871,1,True,True,True,False,False,株式会社山屋,True
(株)岡部,株式会社岡部,3230001008891,1,True,True,True,False,False,株式会社岡部,True
(株)峠製作所,株式会社峠製作所,4021001032951,1,True,True,True,False,False,株式会社峠製作所,True
(株)島津テクノリサーチ,株式会社島津テクノリサーチ,5130001021069,1,True,True,True,False,False,株式会社島津テクノリサーチ,True
(株)常光,株式会社常光,6010001003689,1,True,True,True,False,False,株式会社常光,True
(株)建設技術研究所北陸支社,株式会社建設技術研究所北陸支社,7010001042703,1,False,True,False,False,False,株式会社建設技術研究所,False
(株)放送サービスセンター,株式会社放送サービスセンター,4011101019544,1,True,True,True,False,False,株式会社放送サービスセンター,True
(株)文明屋,株式会社文明屋,4110001026500,1,True,True,True,False,False,株式会社文明屋,True
(株)日本通運,株式会社日本通運,4010401022860,1,False,True,False,False,False,日本通運株式会社,False
(株)日水コン・日本地下水開発(株)共同提案体,株式会社日水コン・日本地下水開発(株)共同提案体,,0,False,False,False,False,False,,False
(株)有田屋,株式会社有田屋,2070001009783,1,True,True,True,False,False,株式会社有田屋,True
(株)東京流通センター,株式会社東京流通センター,2010801007950,1,True,True,True,False,False,株式会社東京流通センター,True
(株)森下組,株式会社森下組,2110001026576,1,True,True,True,False,False,株式会社森下組,True
(株)森組,株式会社森組,4340001014168,1,True,True,True,False,False,株式会社森組,True
(株)植村組,株式会社植村組,7340001000529,1,True,True,True,False,False,株式会社植村組,True
(株)池田理化,株式会社池田理化,3010001010696,1,True,True,True,False,False,株式会社池田理化,True
(株)沖明,株式会社沖明,9360001000599,1,True,True,True,False,False,株式会社沖明,True
(株)河井工業,株式会社河井工業,3150001022224,1,True,True,False,False,False,株式会社河合工業,False
(株)熊谷組・青木あすなろ建設(株)矢作川総合第二期農地防災事業北部併設水路(下流)一期建設工事共同企業体,株式会社熊谷組・青木あすなろ建設(株)矢作川総合第二期農地防災事業北部併設水路(下流)一期建設工事共同企業体,,0,False,False,False,False,False,,False
(株)相模組,株式会社相模組,5100001017243,1,True,True,True,False,False,株式会社相模組,True
(株)竹宝商会,株式会社竹宝商会,4011101012854,1,True,True,True,False,False,株式会社竹宝商会,True
(株)第一印刷所,株式会社第一印刷所,1110001002917,1,False,True,False,False,False,株式会社ＤＩ　Ｐａｌｅｔｔｅ,False
(株)茅嶋工務店,株式会社茅嶋工務店,4320001000830,1,True,True,True,False,False,株式会社茅嶋工務店,True
(株)菊池工業,株式会社菊池工業,2400002006572,1,True,True,True,False,False,株式会社菊池工業,True
(株)薬研社,株式会社薬研社,8040001007537,1,True,True,True,False,False,株式会社薬研社,True
(株)読売広告社,株式会社読売広告社,3010401076255,1,True,True,True,False,False,株式会社読売広告社,True
(株)野添土木,株式会社野添土木,6340001003458,1,True,True,True,False,False,株式会社野添土木,True
(株)釧路厚生社,株式会社釧路厚生社,8460001000391,1,True,True,True,False,False,株式会社釧路厚生社,True
(株)関薬,株式会社関薬,5120001042421,1,True,True,True,False,False,株式会社関薬,True
(株)高長,株式会社高長,2010001004658,1,True,True,True,False,False,株式会社高長,True
(株)鹿大丸,株式会社鹿大丸,7340001005874,1,True,True,True,False,False,株式会社鹿大丸,True
(湧)西村岩倉経常建設共同企業体,(湧)西村岩倉経常建設共同企業体,,0,False,False,False,False,False,,False
(独)自動車技術総合機構交通安全環境研究所,(独)自動車技術総合機構交通安全環境研究所,6012405000493,1,False,True,False,False,False,独立行政法人交通安全環境研究所,False
(社)国際交流サービス協会,(社)国際交流サービス協会,8010005002644,1,False,True,False,False,False,一般社団法人国際交流サービス協会,False
123Ink.ie,123Ink.ie,,0,False,False,False,False,False,,False
15市町村等,15市町村等,,0,False,False,False,False,False,,False
2022年度三重道路維持積算技術業務PS・第一設計監理設計共同体,2022年度三重道路維持積算技術業務PS・第一設計監理設計共同体,,0,False,False,False,False,False,,False
2022年度北勢国道積算技術業務PS・拓進工営設計共同体,2022年度北勢国道積算技術業務PS・拓進工営設計共同体,,0,False,False,False,False,False,,False
2022年度名古屋国道修繕積算技術業務PS・東建工営設計共同体,2022年度名古屋国道修繕積算技術業務PS・東建工営設計共同体,,0,False,False,False,False,False,,False
2023年度3次元データ活用・共有による生産性向上のための調査検討業務日本建設情報総合センター・建設技術研究所共同提案体,2023年度3次元データ活用・共有による生産性向上のための調査検討業務日本建設情報総合センター・建設技術研究所共同提案体,,0,False,False,False,False,False,,False
2023年度ASEAN諸国における舗装維持管理技術の導入に向けた調査検討業務国際建設技術協会・八千代エンジニヤリング共同提案体,2023年度ASEAN諸国における舗装維持管理技術の導入に向けた調査検討業務国際建設技術協会・八千代エンジニヤリング共同提案体,,0,False,False,False,False,False,,False
2023年度RRIモデルを活用した海外における水害リスクマップ等の作成業務建設技術研究所・建設技研インターナショナル・国際建設技術協会・八千代エンジニヤリング共同提案体,2023年度RRIモデルを活用した海外における水害リスクマップ等の作成業務建設技術研究所・建設技研インターナショナル・国際建設技術協会・八千代エンジニヤリング共同提案体,,0,False,False,False,False,False,,False
2023年度SmartJAMP交通分野におけるスマートシティ実現に向けた調査検討業務共同提案体,2023年度SmartJAMP交通分野におけるスマートシティ実現に向けた調査検討業務共同提案体,,0,False,False,False,False,False,,False
2023年度SmartJAMP防災分野におけるスマートシティ実現に向けた調査検討業務建設技術研究所・建設技研インターナショナル共同提案体,2023年度SmartJAMP防災分野におけるスマートシティ実現に向けた調査検討業務建設技術研究所・建設技研インターナショナル共同提案体,,0,False,False,False,False,False,,False
2023年度インフラシステム海外展開における地理空間情報の高度活用に関する調査検討業務パスコ・国際建設技術協会共同提案体,2023年度インフラシステム海外展開における地理空間情報の高度活用に関する調査検討業務パスコ・国際建設技術協会共同提案体,,0,False,False,False,False,False,,False
2023年度インフラ分野のDX業務国際航業・日本NECネッツエスアイ共同提案体,2023年度インフラ分野のDX業務国際航業・日本NECネッツエスアイ共同提案体,,0,False,False,False,False,False,,False
2023年度ウポポイへの来場促進施策立案支援業務受託コンソーシアム,2023年度ウポポイへの来場促進施策立案支援業務受託コンソーシアム,,0,False,False,False,False,False,,False
2023年度タイ王国における道路交通分野での本邦技術活用及びPPP案件形成検討業務株式会社オリエンタルコンサルタンツ・株式会社オリエンタルコンサルタンツグローバル・首都高速道路株式会社・株式会社長大共同提案体,2023年度タイ王国における道路交通分野での本邦技術活用及びPPP案件形成検討業務株式会社オリエンタルコンサルタンツ・株式会社オリエンタルコンサルタンツグローバル・首都高速道路株式会社・株式会社長大共同提案体,,0,False,False,False,False,False,,False
2023年度タム再生事業による海外ダム水力発電増強その他調査業務共同提案体,2023年度タム再生事業による海外ダム水力発電増強その他調査業務共同提案体,,0,False,False,False,False,False,,False
2023年度テレワーク人口実態調査等業務計量計画研究所・日本テレワーク協会共同提案体,2023年度テレワーク人口実態調査等業務計量計画研究所・日本テレワーク協会共同提案体,,0,False,False,False,False,False,,False
2023年度中国管内橋梁漏水対策外整理検討業務いであ・橋梁調査会設計共同体,2023年度中国管内橋梁漏水対策外整理検討業務いであ・橋梁調査会設計共同体,,0,False,False,False,False,False,,False
2023年度中央アジア及びコーカサス地域におけるインフラ事業に関する調査業務片平エンジニアリング・インターナショナル・国際建設技術協会共同提案体,2023年度中央アジア及びコーカサス地域におけるインフラ事業に関する調査業務片平エンジニアリング・インターナショナル・国際建設技術協会共同提案体,,0,False,False,False,False,False,,False
2023年度公園管理運営におけるデジタル技術活用の実現方策に関する検討業務日本工営・国際航業共同提案体,2023年度公園管理運営におけるデジタル技術活用の実現方策に関する検討業務日本工営・国際航業共同提案体,,0,False,False,False,False,False,,False
2023年度名古屋国道道路管理資料作成業務J.CONSIS・PS設計共同体,2023年度名古屋国道道路管理資料作成業務J.CONSIS・PS設計共同体,,0,False,False,False,False,False,,False
2023年度多様なニーズに対応する道路空間の構築、運用に関する調査検討業務日本みち研究所・セントラルコンサルタント共同提案体,2023年度多様なニーズに対応する道路空間の構築、運用に関する調査検討業務日本みち研究所・セントラルコンサルタント共同提案体,,0,False,False,False,False,False,,False
2023年度大型車両の通行適正化促進方策に係る調査検討業務道路新産業開発機構・オリエンタルコンサルタンツ・建設技術研究所共同提案体,2023年度大型車両の通行適正化促進方策に係る調査検討業務道路新産業開発機構・オリエンタルコンサルタンツ・建設技術研究所共同提案体,,0,False,False,False,False,False,,False
2023年度大都市圏の形成に関する状況の把握・分析及び首都圏整備の推進に関する調査検討業務計量計画研究所・ライテック共同提案体,2023年度大都市圏の形成に関する状況の把握・分析及び首都圏整備の推進に関する調査検討業務計量計画研究所・ライテック共同提案体,,0,False,False,False,False,False,,False
2023年度官民連携による道路インフラ関連技術の海外展開支援業務国際建設技術協会・八千代エンジニヤリング共同提案体,2023年度官民連携による道路インフラ関連技術の海外展開支援業務国際建設技術協会・八千代エンジニヤリング共同提案体,,0,False,False,False,False,False,,False
2023年度岐阜国道事務所管内積算技術業務PS・イッセイ設計共同体,2023年度岐阜国道事務所管内積算技術業務PS・イッセイ設計共同体,,0,False,False,False,False,False,,False
2023年度岐阜国道道路管理資料作成業務PS・J.CONSIS設計共同体,2023年度岐阜国道道路管理資料作成業務PS・J.CONSIS設計共同体,,0,False,False,False,False,False,,False
2023年度持続性ある実践的多自然川づくりに関する方策検討業務リバーフロント研究所・日本生態系協会共同提案体,2023年度持続性ある実践的多自然川づくりに関する方策検討業務リバーフロント研究所・日本生態系協会共同提案体,,0,False,False,False,False,False,,False
2023年度新しい生活様式に沿った二地域居住の推進検討業務福山コンサルタント・計量計画研究所共同提案体,2023年度新しい生活様式に沿った二地域居住の推進検討業務福山コンサルタント・計量計画研究所共同提案体,,0,False,False,False,False,False,,False
2023年度民族共生象徴空間冬季探究型教育旅行プログラム検討業務コンソーシアム,2023年度民族共生象徴空間冬季探究型教育旅行プログラム検討業務コンソーシアム,,0,False,False,False,False,False,,False
2023年度海外における水害リスク評価手法等検討業務日本水フォーラム・東京建設コンサルタント共同提案体,2023年度海外における水害リスク評価手法等検討業務日本水フォーラム・東京建設コンサルタント共同提案体,,0,False,False,False,False,False,,False
2023年度無電柱化の低コスト化に関する検討業務日本みち研究所・セントラルコンサルタント,2023年度無電柱化の低コスト化に関する検討業務日本みち研究所・セントラルコンサルタント,,0,False,False,False,False,False,,False
2023年度第4回日・カンボジア都市開発・不動産開発プラットフォーム会合開催支援等業務共同提案体,2023年度第4回日・カンボジア都市開発・不動産開発プラットフォーム会合開催支援等業務共同提案体,,0,False,False,False,False,False,,False
2023年度緊急消防援助隊近畿ブロック合同訓練,2023年度緊急消防援助隊近畿ブロック合同訓練,,0,False,False,False,False,False,,False
2023年度自動運転の実現に向けた道路インフラ支援等の検討業務パシフィックコンサルタンツ・道路新産業開発機構・三菱総合研究所共同提案体,2023年度自動運転の実現に向けた道路インフラ支援等の検討業務パシフィックコンサルタンツ・道路新産業開発機構・三菱総合研究所共同提案体,,0,False,False,False,False,False,,False
2023年度自転車利用機会の創出に関する調査業務ドーコン・中央復建コンサルタンツ・パシフィックコンサルタンツ・日本交通計画協会共同提案体,2023年度自転車利用機会の創出に関する調査業務ドーコン・中央復建コンサルタンツ・パシフィックコンサルタンツ・日本交通計画協会共同提案体,,0,False,False,False,False,False,,False
2023年度豪雪地帯対策及び除排雪技術の自動化・省力化に関する現況分析調査業務日本能率協会総合研究所・北海道開発技術センター共同提案体,2023年度豪雪地帯対策及び除排雪技術の自動化・省力化に関する現況分析調査業務日本能率協会総合研究所・北海道開発技術センター共同提案体,,0,False,False,False,False,False,,False
2023年度道路災害における効率的な災害覚知手法の導入検討業務パスコ・デロイトトーマツコンサルティング共同提案体,2023年度道路災害における効率的な災害覚知手法の導入検討業務パスコ・デロイトトーマツコンサルティング共同提案体,,0,False,False,False,False,False,,False
2ndTable株式会社,2ndTable株式会社,3140003007835,1,True,True,True,False,False,２ｎｄＴａｂｌｅ株式会社,True
37自治体(上位10自治体他),37自治体(上位10自治体他),,0,False,False,False,False,False,,False
37都道府県国民健康保険団体連合会,37都道府県国民健康保険団体連合会,,0,False,False,False,False,False,,False
3Hメディソリューション株式会社,3Hメディソリューション株式会社,4013301027145,1,True,True,True,False,False,３Ｈメディソリューション株式会社,True
4K Production(セネガル),4K Production(セネガル),,0,False,False,False,False,False,,False
4P'sCorporation,4P'sCorporation,,0,False,False,False,False,False,,False
